rank,iou,country,area_km2
104,0.6428,Thailand,512543
105,0.6426,Singapore,483
106,0.6367,Serbia,77648
107,0.6364,Mongolia,1564510
108,0.6352,Pitcairn Is.,39
109,0.6352,Honduras,112883
110,0.6346,Ghana,238558
111,0.6343,Bhutan,39811
112,0.6339,Heard I. and McDonald Is.,420
113,0.6329,Djibouti,21619
114,0.6327,Bangladesh,132676
115,0.6295,Greenland,2150928
116,0.6256,Dominican Rep.,48440
117,0.6243,Czechia,78744
118,0.6231,Rwanda,25273
119,0.6181,Saint Lucia,549
120,0.6104,Slovenia,20245
121,0.6047,Fr. Polynesia,989
122,0.6036,Argentina,2761111
123,0.6027,N. Mariana Is.,117
124,0.6020,Vanuatu,4012
125,0.6007,Turkmenistan,470916
126,0.6006,Jersey,127
127,0.5962,Benin,116105
128,0.5960,Grenada,285
129,0.5915,Ukraine,571764
130,0.5914,Hungary,93214
131,0.5902,Moldova,33208
132,0.5869,Denmark,29352
133,0.5864,North Korea,122582
134,0.5859,Burkina Faso,272627
135,0.5852,U.S. Virgin Is.,205
136,0.5839,Isle of Man,560
137,0.5793,Qatar,11052
138,0.5771,South Africa,1219812
139,0.5738,Palau,322
140,0.5730,Belize,22476
141,0.5727,Wallis and Futuna Is.,79
142,0.5713,Russia,16530760
143,0.5696,Myanmar,657126
144,0.5693,Tonga,240
145,0.5691,Latvia,64579
146,0.5676,Yemen,448856
147,0.5671,Madagascar,592372
148,0.5633,Peru,1291023
149,0.5631,Jordan,88782
150,0.5620,Kyrgyzstan,198928
151,0.5611,Pakistan,872782
152,0.5586,Austria,84149
153,0.5585,Comoros,976
154,0.5583,United Kingdom,216959
155,0.5565,Armenia,29551
156,0.5560,Finland,331769
157,0.5536,Liechtenstein,138
158,0.5520,Guinea,243939
159,0.5519,Canada,8142221
160,0.5518,Fr. S. Antarctic Lands,6630
161,0.5506,British Virgin Is.,54
162,0.5501,Greece,107234
163,0.5499,Dominica,695
164,0.5499,St. Kitts and Nevis,149
165,0.5496,Cyprus,5707
166,0.5482,Oman,308916
167,0.5479,Zambia,752775
168,0.5474,Central African Rep.,618323
169,0.5428,Tunisia,156035
170,0.5424,Liberia,95252
171,0.5422,Ashmore and Cartier Is.,3
172,0.5414,Georgia,69413
173,0.5403,Slovakia,48488
174,0.5370,Taiwan,35807
175,0.5312,Solomon Is.,5278
176,0.5280,Guyana,211023
177,0.5271,St-Martin,49
178,0.5243,Paraguay,399948
179,0.5231,Italy,250965
180,0.5225,Lebanon,10009
181,0.5201,Timor-Leste,14167
182,0.5181,Tajikistan,142239
183,0.5157,Puerto Rico,8725
184,0.5156,United Arab Emirates,70573
185,0.5113,Portugal,87937
186,0.5067,Mozambique,788104
187,0.5063,Turks and Caicos Is.,130
188,0.5050,Jamaica,10898
189,0.4974,Turkey,756928
190,0.4967,Costa Rica,51303
191,0.4967,Sint Maarten,42
192,0.4941,El Salvador,20315
193,0.4931,Albania,28373
194,0.4913,Philippines,105018
195,0.4812,Croatia,51358
